currentRanking,displayName,userUrl,tier,points,joined,totalGoldMedals,totalSilverMedals,totalBronzeMedals
1,Chris Deotte,/cdeotte,grandmaster,1031.0,2018-03-14T22:51:30.63Z,8,8,22
2,SRK,/sudalairajkumar,grandmaster,1001.0,2012-11-28T14:13:45.6Z,5,5,3
3,Larxel,/andrewmvd,grandmaster,880.0,2016-11-15T02:55:17.343Z,6,5,28
4,Chris Crawford,/crawford,grandmaster,656.0,2015-12-09T23:39:03.803Z,7,12,51
5,Ruchi Bhatia,/ruchi798,grandmaster,636.0,2019-06-04T09:32:45.307Z,7,4,0
6,Abhishek Thakur,/abhishek,grandmaster,525.0,2011-01-12T03:44:52Z,7,7,13
7,Vopani,/rohanrao,master,434.0,2013-07-09T05:35:42.833Z,6,0,7
8,Tensor Girl,/usharengaraju,grandmaster,402.0,2015-06-27T10:09:43.2Z,7,3,5
9,Bojan Tunguz,/tunguz,master,363.0,2015-09-11T21:32:16.517Z,1,7,20
10,Murilão,/upadorprofzs,master,338.0,2019-09-20T20:39:08Z,5,1,0
11,Rachael Tatman,/rtatman,master,316.0,2017-07-10T20:29:20.237Z,3,8,39
12,K Scott Mader,/kmader,master,315.0,2012-11-04T17:36:28.017Z,4,7,10
13,Marília Prata,/mpwolke,expert,313.0,2019-03-29T19:09:20.75Z,0,4,25
14,Abigail Larion,/abigaillarion,master,288.0,2016-11-16T19:20:23.057Z,3,3,43
15,Shivam Bansal,/shivamb,expert,283.0,2018-01-22T11:18:04.677Z,2,1,1
16,Roshan Sharma,/roshansharma,master,273.0,2019-05-21T09:21:31.56Z,1,7,5
17,Mathurin Aché,/mathurinache,expert,263.0,2011-10-11T10:41:53.177Z,1,2,7
18,Devakumar kp,/imdevskp,master,259.0,2017-09-30T12:11:49.17Z,1,4,5
19,Alex Shonenkov,/shonenkov,master,257.0,2018-05-17T08:49:26.743Z,2,4,3
20,Prashant Banerjee,/prashant111,master,255.0,2018-05-17T13:27:34.727Z,2,5,5
21,Mitchell J,/datasnaek,expert,246.0,2017-08-28T16:06:16.803Z,3,1,1
22,Firat Gonen,/frtgnn,master,242.0,2018-10-07T15:47:22.923Z,5,2,0
23,Divyansh Agrawal,/divyansh22,master,235.0,2019-06-25T08:56:32.553Z,1,7,6
24,Yury Kashnitsky,/kashnitsky,expert,233.0,2014-03-27T13:30:04.747Z,1,1,3
25,Esther Kim,/ekim01,master,218.0,2015-08-04T03:01:00.323Z,4,3,16
26,shivan kumar,/shivan118,master,218.0,2019-06-11T04:13:09.17Z,1,6,1
27,Gabriel Preda,/gpreda,expert,217.0,2016-10-27T20:37:40.773Z,1,1,11
28,Noah Daniels,/nbdaniels,expert,212.0,2018-03-16T00:33:55.507Z,0,4,23
29,MAINAK CHAUDHURI,/mainakchaudhuri,expert,178.0,2020-04-23T04:55:41.25Z,0,2,11
30,Moore,/imoore,expert,166.0,2020-06-20T10:07:38.033Z,1,3,1
31,Tawara,/ttahara,expert,158.0,2015-11-24T09:34:55.137Z,0,6,1
32,datartist,/kimjihoo,expert,153.0,2019-02-14T08:30:17.813Z,1,0,2
33,Rounak Banik,/rounakbanik,expert,152.0,2017-02-23T20:41:28.607Z,3,0,0
34,Bulent Siyah,/bulentsiyah,expert,148.0,2017-08-04T11:41:28.12Z,0,3,13
35,Gokul Prakash P,/gokulprakash22,master,141.0,2020-08-19T06:36:32.45Z,1,4,0
36,Saleh Ahmed Rony,/salehahmedrony,expert,136.0,2019-09-12T15:53:48.773Z,0,5,2
37,Parul Pandey,/parulpandey,expert,135.0,2015-07-26T17:12:53.843Z,0,3,7
38,DanB,/dansbecker,expert,134.0,2011-04-06T17:55:23.257Z,2,1,11
39,Neha Prabhavalkar,/nehaprabhavalkar,expert,134.0,2019-10-19T12:05:10.187Z,0,2,7
40,Anmol Kumar,/anmolkumar,expert,127.0,2018-04-12T16:45:07.14Z,1,0,8
41,Aleksey Bilogur,/residentmario,expert,125.0,2016-10-15T17:43:20.493Z,1,3,14
42,Andriy Samoshyn,/mrmorj,expert,123.0,2019-07-26T19:05:07.997Z,0,2,7
43,Ekrem Bayar,/ekrembayar,expert,122.0,2017-05-03T16:13:58.413Z,0,3,5
44,Aayush Mishra,/aayushmishra1512,expert,120.0,2019-12-10T10:08:37.857Z,0,0,13
45,xhlulu,/xhlulu,expert,118.0,2018-10-12T02:45:24.533Z,2,0,7
46,Vitalii Mokin,/vbmokin,expert,117.0,2018-04-07T21:23:40.383Z,0,5,4
47,JohnM,/jpmiller,expert,114.0,2015-05-31T13:23:31.297Z,1,3,1
48,Rishi Damarla,/rishidamarla,expert,113.0,2020-06-10T18:07:43.033Z,0,0,11
49,Christian Lillelund,/christianlillelund,expert,111.0,2020-04-16T20:08:57.14Z,1,1,5
50,PromptCloud,/promptcloud,expert,108.0,2017-01-11T08:32:58.35Z,0,3,12
51,Amritvir Singh,/amritvirsinghx,expert,105.0,2018-06-13T16:41:33.427Z,0,4,1
52,Salman Ibne Eunus,/salmaneunus,expert,101.0,2019-07-22T11:34:15.06Z,0,0,11
53,Leonardo Henrique,/leonardopena,expert,98.0,2019-01-25T22:06:18.84Z,1,1,2
54,Raphael Fontes,/unanimad,expert,98.0,2019-05-19T13:51:48.35Z,1,2,2
55,Rishabh Misra,/rmisra,expert,97.0,2014-12-10T11:01:03.84Z,1,1,1
56,Mukharbek Organokov,/muhakabartay,expert,97.0,2018-04-04T12:53:25.47Z,0,3,6
57,Andrada Olteanu,/andradaolteanu,expert,97.0,2019-08-09T11:39:47.233Z,0,2,7
58,Muhammet Ikbal Elek,/mielek,expert,97.0,2020-02-08T12:55:35.95Z,0,0,11
59,Iafoss,/iafoss,expert,94.0,2017-08-12T20:53:20.977Z,0,3,5
60,Johar M. Ashfaque,/ukveteran,expert,94.0,2018-07-17T18:25:16.433Z,0,0,9
61,Andre Sionek,/andresionek,expert,91.0,2018-01-13T17:40:48.287Z,1,1,1
62,Olga Belitskaya,/olgabelitskaya,expert,90.0,2016-12-21T23:19:01.493Z,0,2,7
63,Ed King,/kinguistics,master,87.0,2016-09-28T05:50:52.893Z,2,3,11
64,Blesson Densil,/blessondensil294,expert,85.0,2018-01-23T14:05:23.867Z,0,0,7
65, Akash Gupta,/akash14,expert,84.0,2017-03-05T14:00:44.563Z,0,1,6
66,Marie,/mariapushkareva,expert,82.0,2018-10-08T05:39:13.13Z,0,3,1
67,Konrad Banachewicz,/konradb,expert,78.0,2010-08-03T19:33:36Z,0,0,11
68,raddar,/raddar,expert,78.0,2015-08-24T11:49:01.703Z,0,2,6
69,Yaroslav Isaienkov,/ihelon,expert,77.0,2017-10-05T13:25:05.013Z,1,0,2
70,Welf Crozzo,/miklgr500,expert,76.0,2017-08-11T10:00:57.05Z,1,0,2
71,Atul Anand {Jha},/atulanandjha,expert,76.0,2018-03-22T05:02:28.55Z,0,3,2
72,Anna Wolak,/annawolak,master,75.0,2014-12-12T22:38:22.883Z,1,6,5
73,Jacob Boysen,/jboysen,expert,75.0,2017-07-10T20:58:13.383Z,0,2,19
74,BryanB,/bryanb,expert,74.0,2016-10-16T21:51:56.003Z,0,0,7
75,Sankha Subhra Mondal,/sankha1998,expert,74.0,2020-04-08T06:42:51.31Z,0,3,0
76,Vetrivel-PS,/vetrirah,expert,73.0,2017-08-04T08:07:26.477Z,0,0,6
77,landlord,/landlord,expert,73.0,2020-01-05T10:02:27.437Z,1,0,5
78,Heads or Tails,/headsortails,expert,70.0,2017-04-09T17:55:28.85Z,0,1,4
79,Xavier,/xvivancos,expert,70.0,2017-07-06T08:43:57.313Z,0,3,5
80,Habib Gültekin,/hgultekin,expert,70.0,2019-08-13T17:50:34.3Z,0,0,9
81,Ritesh Yadav,/ritesh2000,expert,70.0,2019-11-07T11:55:06.137Z,1,0,3
82,Kash,/kaushiksuresh147,expert,69.0,2017-11-19T23:28:17.7Z,0,1,6
83,Vaishnavi V,/vaishnavivenkatesan,expert,68.0,2020-08-08T10:45:23.53Z,0,0,6
84,Aman Kumar,/aestheteaman01,expert,67.0,2018-12-07T15:45:13.027Z,0,0,5
85,Andrew Lukyanenko,/artgor,expert,66.0,2016-09-24T18:37:08.813Z,0,2,3
86,Stefano Leone,/stefanoleone992,expert,66.0,2018-04-24T07:33:06.463Z,1,1,1
87,Arslan Ali,/arslanali4343,expert,66.0,2020-04-02T12:56:47.92Z,0,0,7
88,Rajanand Ilangovan,/rajanand,expert,65.0,2015-09-01T22:11:08.087Z,0,4,7
89,Zeeshan-ul-hassan Usmani,/zusmani,master,65.0,2016-04-19T04:14:09.807Z,1,6,5
90,Cam Nugent,/camnugent,expert,65.0,2016-09-10T02:19:26.307Z,1,1,3
91,Austin Reese,/austinreese,expert,64.0,2017-10-04T15:09:18.307Z,1,1,1
92,Chris Gorgolewski,/chrisfilo,expert,64.0,2018-07-26T21:44:09.53Z,0,1,6
93,corochann,/corochann,expert,62.0,2016-02-01T05:36:32.907Z,1,0,2
94,Ashish Gupta,/roydatascience,expert,62.0,2018-05-16T17:52:44.15Z,0,1,2
95,Umair Nasir14,/umairnasir14,expert,62.0,2020-07-26T09:39:24.607Z,0,1,3
96,David Beniaguev,/selfishgene,expert,61.0,2013-09-27T14:04:08.447Z,2,0,2
97,ShiroK,/ludovick,expert,61.0,2017-10-02T09:49:28.843Z,0,1,3
98,Eswar Chand,/eswarchandt,expert,60.0,2019-07-27T05:47:23.217Z,0,1,3
99,Heeral Dedhia,/heeraldedhia,expert,60.0,2020-06-19T10:05:14.707Z,0,1,3
100,beluga,/gaborfodor,expert,59.0,2011-10-05T16:49:08.02Z,1,0,2
101,Vishnu Varthan Rao,/vishnuvarthanrao,expert,59.0,2020-04-24T10:56:11.127Z,0,1,2
102,V.Prasanna Kumar,/vpkprasanna,expert,57.0,2017-11-20T18:39:43.5Z,0,0,7
103,Edward Zhang,/sshikamaru,expert,57.0,2018-11-17T01:11:09.823Z,0,0,8
104,Navin Mundhra,/navinmundhra,expert,55.0,2019-03-30T12:58:29.247Z,1,0,2
105,kkiller,/kneroma,expert,54.0,2017-12-15T23:38:17.923Z,0,1,4
106,NQ,/david1013,expert,53.0,2017-09-28T05:25:06.643Z,0,0,3
107,Wei Hao Khoong,/khoongweihao,expert,53.0,2018-03-20T01:37:41.953Z,0,0,6
108,Narendra,/narendrageek,expert,53.0,2018-04-13T04:59:02.793Z,0,1,3
109,soham mukherjee,/soham1024,expert,53.0,2019-01-15T22:31:26.517Z,0,0,7
110,Gokagglers ,/loveall,expert,52.0,2013-09-23T04:55:36.343Z,1,1,2
111,Neuron Engineer,/ratthachat,expert,52.0,2017-10-27T08:54:30.307Z,0,1,2
112,Minyong Shin,/gyejr95,expert,52.0,2018-04-12T08:15:22.997Z,0,0,8
113,NoLogic,/veeralakrishna,expert,52.0,2019-02-09T08:17:31.753Z,0,0,7
114,Neelima Jauhari,/nilimajauhari,expert,52.0,2019-03-02T11:04:36.767Z,0,0,4
115,Akshat Dubey,/akshat0007,expert,52.0,2019-03-24T17:52:18.867Z,0,1,2
116,Caesar Lupum,/caesarlupum,expert,52.0,2019-08-18T18:01:07.653Z,0,0,5
117,Rob Mulla,/robikscube,expert,50.0,2016-06-18T17:07:06.333Z,1,0,2
118,Rohk,/therohk,expert,50.0,2017-07-02T00:43:44.417Z,1,1,4
119,Carl McBride Ellis,/carlmcbrideellis,expert,49.0,2019-11-17T16:45:42.013Z,0,0,5
120,See--,/seesee,expert,48.0,2016-09-11T20:09:11.477Z,1,0,2
121,Marsh,/vbookshelf,expert,48.0,2017-05-22T11:34:57.153Z,0,2,2
122,Hieu Phung,/phunghieu,expert,48.0,2018-04-24T13:56:00.07Z,0,0,4
123,anokas,/anokas,expert,47.0,2016-01-16T21:02:01.33Z,1,1,2
124,Ishan Dutta,/ishandutta,expert,47.0,2020-03-07T19:08:42.217Z,0,0,5
125,Clayton,/claytonmiller,expert,46.0,2011-11-17T04:07:03.303Z,0,0,5
126,Saman Siadati,/samansiadati,expert,46.0,2018-01-11T15:52:55.75Z,0,2,1
127,DataTurks,/dataturks,expert,46.0,2018-04-24T15:40:27.837Z,0,3,1
128,M.Innat,/ipythonx,expert,46.0,2018-06-11T16:58:33.233Z,0,0,4
129,Mobassir,/mobassir,expert,46.0,2018-07-01T13:33:25.577Z,0,0,4
130,Naresh bhat,/nareshbhat,expert,46.0,2019-12-27T15:27:48.903Z,0,1,2
131,Paras Varshney,/blurredmachine,expert,46.0,2020-05-30T06:43:20.657Z,0,1,2
132,akensert,/akensert,expert,45.0,2018-08-26T18:15:23.683Z,0,2,2
133,ragnar,/ragnar123,expert,43.0,2017-08-24T22:15:46.307Z,0,1,3
134,palak sood,/palaksood97,expert,43.0,2018-06-26T02:16:52.153Z,0,0,6
135,yash chaudhary,/yash612,expert,43.0,2019-03-21T18:38:59.227Z,0,1,2
136,JIL KOTHARI,/jilkothari,expert,43.0,2019-10-20T09:27:44.263Z,0,0,3
137,Daniboy370,/daniboy370,expert,43.0,2020-04-16T11:24:10.047Z,0,0,3
138,Vikas Ukani,/vikasukani,expert,43.0,2020-07-17T09:55:45.357Z,0,0,6
139,Kyubyong Park,/bryanpark,expert,42.0,2015-03-06T08:03:00.583Z,0,1,5
140,Dieter,/christofhenkel,expert,42.0,2017-11-17T06:39:22.317Z,0,0,5
141,Arpit Dwivedi,/arpitdw,expert,42.0,2018-09-30T14:05:06.203Z,0,0,4
142,Daria Chemkaeva,/lsind18,expert,42.0,2019-03-08T18:01:26.933Z,0,0,4
143,Nipun Arora,/nipunarora8,expert,42.0,2019-07-12T12:34:58.573Z,0,1,2
144,Mohammad Reza Ghari,/rezaghari,expert,42.0,2019-10-05T09:24:04.477Z,0,1,2
145,Thaddeus Segura,/thaddeussegura,expert,42.0,2020-01-24T02:14:56.56Z,0,0,6
146,Alin Cijov,/alincijov,expert,42.0,2020-04-25T13:20:15.64Z,0,0,3
147,David Robinson,/drobinson,expert,41.0,2012-08-28T05:31:13.553Z,0,4,1
148,Shion,/shiondatafiniti,expert,41.0,2016-11-17T02:50:29.947Z,0,3,3
149,ryches,/ryches,expert,41.0,2017-04-21T02:26:57.553Z,0,2,3
150,Fellipe Gomes,/gomes555,expert,41.0,2017-08-17T21:35:07.333Z,0,0,4
151,SAIF UDDIN,/saife245,expert,41.0,2018-08-05T10:39:35.12Z,0,0,5
152,Bavalpreet,/bavalpreet26,expert,41.0,2018-12-19T06:29:23.1Z,0,0,5
153,ma7555,/ma7555,expert,41.0,2019-03-27T02:03:07.417Z,0,0,4
154,Haithem Hermessi,/haithemhermessi,expert,41.0,2020-02-14T18:04:06.48Z,0,0,6
155,Raja CSP,/rajacsp,expert,40.0,2015-09-01T13:39:11.79Z,0,0,3
156,nicapotato,/nicapotato,expert,40.0,2017-01-13T15:40:45.213Z,1,0,2
157,Fares Sayah,/faressayah,expert,40.0,2019-06-18T09:06:40.537Z,0,0,5
158,The ML PhD Student,/themlphdstudent,expert,40.0,2020-07-24T12:21:58.123Z,0,0,5
159,Carlo Lepelaars,/carlolepelaars,expert,39.0,2018-05-31T10:34:51.69Z,0,1,4
160,Jeffrey Braun,/jeffreybraun,expert,39.0,2020-04-11T19:56:00.293Z,0,0,3
161,Shane Smith,/smid80,expert,37.0,2017-01-27T05:40:03.963Z,0,1,4
162,Balraj Ashwath,/balraj98,expert,37.0,2018-03-12T16:04:39.63Z,0,0,4
